Lead,AMI_Importance,AMI_Std,IMI_Importance,IMI_Std
I,0.09090850630692336,0.009065911436645672,0.09003111783721536,0.021450012806834985
II,0.07601555683156669,0.012543517875033789,0.07960520060642481,0.0150435323204125
III,0.06384908325020752,0.021328036349401967,0.11374853945153718,0.026709531383002173
aVR,0.09187527955253856,0.012493105516475003,0.08735111179160054,0.0185120146969901
aVL,0.05338507319991237,0.014458643697434569,0.07421466347701378,0.020301542220477527
aVF,0.05899080412627296,0.018984258752086366,0.09079062530278006,0.01428133970175394
V1,0.09044324197551457,0.02300187947505531,0.08133947326705537,0.022636421856088954
V2,0.1401499428226391,0.04283930335594344,0.10915083450830557,0.030619932352809
V3,0.10573401564316218,0.02887810573900304,0.07568859907532127,0.020012903845450968
V4,0.05861730175854666,0.01945836458240851,0.056270445748514586,0.030103534590699463
V5,0.0586446065906874,0.02273478840521894,0.04103220869768422,0.018922736241062277
V6,0.11138658794202864,0.013657136257033319,0.10077718023654725,0.046731368979552074
