Lead,Importance,Std
V6,0.12270542929904331,0.24813940913035237
V2,0.11453371088688823,0.2524119917509511
II,0.09906508645965707,0.2397498298774747
III,0.0901934333242224,0.2174087906729629
aVR,0.08528414535654585,0.17501867229180318
aVF,0.08057489291835333,0.21164835557767592
V3,0.07850943168679188,0.1508999203595484
V1,0.07840461880030018,0.15369070057809606
I,0.07111481429826212,0.13519526743322935
aVL,0.061103726273515416,0.12497491938634546
V4,0.05984903081175933,0.12429295744328699
V5,0.05866167988466079,0.12449346369490341
