Dataset,AUPRC,ROC-AUC,Brier Score,ECE
A,0.9642325333756809,0.9662821673347989,0.08761372014754328,0.08060146225345363
B,0.9726689376784673,0.9754532522953576,0.06011162899292568,0.03538912842427848
C,0.973945993823225,0.9771343592396224,0.06184516113082944,0.049453606629114154
