Dataset,AUPRC,ROC-AUC,Brier Score,ECE
A,0.9848734351405313,0.993349398101951,0.027431484161134053,0.018396118627476827
C,0.9833642600205428,0.9927602386361224,0.03255308125389772,0.023343266857960874
