Lead,AMI_Importance,AMI_Std,IMI_Importance,IMI_Std
I,0.052686123572272134,0.012233627992043365,0.0573456625519214,0.0030938366631834764
II,0.04734903052024752,0.007983250003043169,0.04545868307059284,0.014088660715019767
III,0.09117113392102405,0.023819700703102988,0.12401869601739027,0.04564529182569312
aVR,0.04510997524440851,0.007766397616852849,0.05448273891556058,0.01785012402937983
aVL,0.1008438196472909,0.026359008221030655,0.09170419490848179,0.03141984509952462
aVF,0.07352314806788854,0.021957813105294297,0.07369721397027704,0.041738565040402
V1,0.15359662268166954,0.02963336376229139,0.14132731374484936,0.0458050410109514
V2,0.14409757870289328,0.040124003902505284,0.14522845240267895,0.06813262848527035
V3,0.10366784799794541,0.045224845394936014,0.05875304876238381,0.00885834865361229
V4,0.06848770813312367,0.01121309091472289,0.06426827705961784,0.018370398794843108
V5,0.07756927973448358,0.01444235066861533,0.0944985588984755,0.03164901615498216
V6,0.04189773177675273,0.008692125562268777,0.04921715969777059,0.011099547233216517
